scenario,step,mean_believer_ratio,mean_corrected_ratio
baixa_verificacao,0,0.029546875,0.05021875
baixa_verificacao,1,0.044203125,0.051015625
baixa_verificacao,2,0.064328125,0.052203125
baixa_verificacao,3,0.0906953125,0.0541328125
baixa_verificacao,4,0.122828125,0.056765625
baixa_verificacao,5,0.1596875,0.0606796875
baixa_verificacao,6,0.20046875,0.066203125
baixa_verificacao,7,0.2429921875,0.0737890625
baixa_verificacao,8,0.2861640625,0.0836328125
baixa_verificacao,9,0.3288203125,0.0956875
baixa_verificacao,10,0.36741406249999997,0.11139062500000001
baixa_verificacao,11,0.4021953125,0.13090625
baixa_verificacao,12,0.4323359375,0.15471875
baixa_verificacao,13,0.4541484375,0.183109375
baixa_verificacao,14,0.4663984375,0.2166484375
baixa_verificacao,15,0.4713984375,0.2542734375
baixa_verificacao,16,0.468328125,0.2960625
baixa_verificacao,17,0.45696875,0.3425
baixa_verificacao,18,0.4392109375,0.39090625
baixa_verificacao,19,0.4152734375,0.4410703125
baixa_verificacao,20,0.38751562500000003,0.4913515625
baixa_verificacao,21,0.354953125,0.54290625
baixa_verificacao,22,0.3200078125,0.5938046875
baixa_verificacao,23,0.2855234375,0.6415078125
baixa_verificacao,24,0.2513046875,0.687171875
baixa_verificacao,25,0.2181875,0.72928125
baixa_verificacao,26,0.1861875,0.76890625
baixa_verificacao,27,0.1560859375,0.8049140625
baixa_verificacao,28,0.13059375,0.8353046875
baixa_verificacao,29,0.1083515625,0.8618671875
baixa_verificacao,30,0.0885078125,0.884984375
baixa_verificacao,31,0.0713515625,0.9044609375
baixa_verificacao,32,0.0578671875,0.9200078125
baixa_verificacao,33,0.046015625,0.9334921875
baixa_verificacao,34,0.0358984375,0.9447421875
baixa_verificacao,35,0.028234375,0.9533515625
baixa_verificacao,36,0.0220234375,0.9603828125
baixa_verificacao,37,0.0172421875,0.9657578125
baixa_verificacao,38,0.013601562499999999,0.969921875
baixa_verificacao,39,0.0105859375,0.97334375
baixa_verificacao,40,0.0082890625,0.975953125
baixa_verificacao,41,0.0064140625000000005,0.978046875
baixa_verificacao,42,0.004953125,0.979703125
baixa_verificacao,43,0.004,0.9807734375
baixa_verificacao,44,0.002890625,0.981984375
baixa_verificacao,45,0.002328125,0.9826328125
baixa_verificacao,46,0.00178125,0.98325
baixa_verificacao,47,0.001328125,0.98375
baixa_verificacao,48,0.0010703125,0.9840703125
baixa_verificacao,49,0.000828125,0.984359375
baixa_verificacao,50,0.00071875,0.9845078125
baixa_verificacao,51,0.0005625000000000001,0.9846953125
baixa_verificacao,52,0.00039843750000000003,0.9848828125
baixa_verificacao,53,0.0003125,0.985015625
baixa_verificacao,54,0.0002109375,0.9851484375
baixa_verificacao,55,0.0001640625,0.98521875
baixa_verificacao,56,0.000125,0.9852578125
baixa_verificacao,57,0.0001015625,0.9852890625
baixa_verificacao,58,7.031250000000001e-05,0.9853203125
baixa_verificacao,59,7.031250000000001e-05,0.985328125
baixa_verificacao,60,4.6875e-05,0.985359375
baixa_verificacao,61,3.125e-05,0.985375
baixa_verificacao,62,1.5625e-05,0.985390625
baixa_verificacao,63,1.5625e-05,0.985390625
baixa_verificacao,64,7.8125e-06,0.9853984375
baixa_verificacao,65,0.0,0.98540625
baixa_verificacao,66,0.0,0.98540625
baixa_verificacao,67,0.0,0.98540625
baixa_verificacao,68,0.0,0.98540625
baixa_verificacao,69,0.0,0.98540625
baixa_verificacao,70,0.0,0.98540625
baixa_verificacao,71,0.0,0.98540625
baixa_verificacao,72,0.0,0.98540625
baixa_verificacao,73,0.0,0.98540625
baixa_verificacao,74,0.0,0.98540625
baixa_verificacao,75,0.0,0.98540625
baixa_verificacao,76,0.0,0.98540625
baixa_verificacao,77,0.0,0.98540625
baixa_verificacao,78,0.0,0.98540625
baixa_verificacao,79,0.0,0.98540625
baixa_verificacao,80,0.0,0.98540625
baixa_verificacao,81,0.0,0.98540625
baixa_verificacao,82,0.0,0.98540625
baixa_verificacao,83,0.0,0.98540625
baixa_verificacao,84,0.0,0.98540625
baixa_verificacao,85,0.0,0.98540625
baixa_verificacao,86,0.0,0.98540625
baixa_verificacao,87,0.0,0.98540625
baixa_verificacao,88,0.0,0.98540625
baixa_verificacao,89,0.0,0.98540625
baixa_verificacao,90,0.0,0.98540625
baixa_verificacao,91,0.0,0.98540625
baixa_verificacao,92,0.0,0.98540625
baixa_verificacao,93,0.0,0.98540625
baixa_verificacao,94,0.0,0.98540625
baixa_verificacao,95,0.0,0.98540625
baixa_verificacao,96,0.0,0.98540625
baixa_verificacao,97,0.0,0.98540625
baixa_verificacao,98,0.0,0.98540625
baixa_verificacao,99,0.0,0.98540625
baixa_verificacao,100,0.0,0.98540625
baixa_verificacao,101,0.0,0.98540625
baixa_verificacao,102,0.0,0.98540625
baixa_verificacao,103,0.0,0.98540625
baixa_verificacao,104,0.0,0.98540625
baixa_verificacao,105,0.0,0.98540625
baixa_verificacao,106,0.0,0.98540625
baixa_verificacao,107,0.0,0.98540625
baixa_verificacao,108,0.0,0.98540625
baixa_verificacao,109,0.0,0.98540625
baixa_verificacao,110,0.0,0.98540625
baixa_verificacao,111,0.0,0.98540625
baixa_verificacao,112,0.0,0.98540625
baixa_verificacao,113,0.0,0.98540625
baixa_verificacao,114,0.0,0.98540625
baixa_verificacao,115,0.0,0.98540625
baixa_verificacao,116,0.0,0.98540625
baixa_verificacao,117,0.0,0.98540625
baixa_verificacao,118,0.0,0.98540625
baixa_verificacao,119,0.0,0.98540625
baixa_verificacao,120,0.0,0.98540625
baixa_verificacao,121,0.0,0.98540625
baixa_verificacao,122,0.0,0.98540625
baixa_verificacao,123,0.0,0.98540625
baixa_verificacao,124,0.0,0.98540625
baixa_verificacao,125,0.0,0.98540625
baixa_verificacao,126,0.0,0.98540625
baixa_verificacao,127,0.0,0.98540625
baixa_verificacao,128,0.0,0.98540625
baixa_verificacao,129,0.0,0.98540625
baixa_verificacao,130,0.0,0.98540625
baixa_verificacao,131,0.0,0.98540625
baixa_verificacao,132,0.0,0.98540625
baixa_verificacao,133,0.0,0.98540625
baixa_verificacao,134,0.0,0.98540625
baixa_verificacao,135,0.0,0.98540625
baixa_verificacao,136,0.0,0.98540625
baixa_verificacao,137,0.0,0.98540625
baixa_verificacao,138,0.0,0.98540625
baixa_verificacao,139,0.0,0.98540625
baixa_verificacao,140,0.0,0.98540625
baixa_verificacao,141,0.0,0.98540625
baixa_verificacao,142,0.0,0.98540625
baixa_verificacao,143,0.0,0.98540625
baixa_verificacao,144,0.0,0.98540625
baixa_verificacao,145,0.0,0.98540625
baixa_verificacao,146,0.0,0.98540625
baixa_verificacao,147,0.0,0.98540625
baixa_verificacao,148,0.0,0.98540625
baixa_verificacao,149,0.0,0.98540625
baixa_verificacao,150,0.0,0.98540625
baixa_verificacao,151,0.0,0.98540625
baixa_verificacao,152,0.0,0.98540625
baixa_verificacao,153,0.0,0.98540625
baixa_verificacao,154,0.0,0.98540625
baixa_verificacao,155,0.0,0.98540625
baixa_verificacao,156,0.0,0.98540625
baixa_verificacao,157,0.0,0.98540625
baixa_verificacao,158,0.0,0.98540625
baixa_verificacao,159,0.0,0.98540625
baixa_verificacao,160,0.0,0.98540625
verificacao_moderada,0,0.030625,0.0497578125
verificacao_moderada,1,0.0458203125,0.0514921875
verificacao_moderada,2,0.06578125,0.0543046875
verificacao_moderada,3,0.090671875,0.057921875
verificacao_moderada,4,0.118953125,0.0639609375
verificacao_moderada,5,0.1499765625,0.0719453125
verificacao_moderada,6,0.182640625,0.0826015625
verificacao_moderada,7,0.2156953125,0.0973125
verificacao_moderada,8,0.24525,0.116671875
verificacao_moderada,9,0.2722421875,0.1404765625
verificacao_moderada,10,0.293796875,0.16965625
verificacao_moderada,11,0.307734375,0.204140625
verificacao_moderada,12,0.3171171875,0.241484375
verificacao_moderada,13,0.3199296875,0.28340625
verificacao_moderada,14,0.313703125,0.330890625
verificacao_moderada,15,0.304234375,0.378265625
verificacao_moderada,16,0.2889765625,0.42846875
verificacao_moderada,17,0.2716328125,0.4770625
verificacao_moderada,18,0.250140625,0.5263984375
verificacao_moderada,19,0.22796875,0.573515625
verificacao_moderada,20,0.204140625,0.6188125
verificacao_moderada,21,0.18121875,0.66034375
verificacao_moderada,22,0.1604140625,0.6980859375
verificacao_moderada,23,0.139484375,0.7325859375
verificacao_moderada,24,0.121515625,0.7628046875
verificacao_moderada,25,0.1025078125,0.7920234375
verificacao_moderada,26,0.087484375,0.815921875
verificacao_moderada,27,0.0745703125,0.8361875
verificacao_moderada,28,0.06328125,0.8539375
verificacao_moderada,29,0.0537109375,0.8687343750000001
verificacao_moderada,30,0.0448671875,0.8818515625
verificacao_moderada,31,0.03809375,0.892703125
verificacao_moderada,32,0.0316171875,0.9022734375
verificacao_moderada,33,0.0260390625,0.9104140625
verificacao_moderada,34,0.0218203125,0.9169296875
verificacao_moderada,35,0.018328125,0.9223671875
verificacao_moderada,36,0.015359375,0.9271796875
verificacao_moderada,37,0.01303125,0.930828125
verificacao_moderada,38,0.0107890625,0.934140625
verificacao_moderada,39,0.0088828125,0.9369375
verificacao_moderada,40,0.0071640625,0.93934375
verificacao_moderada,41,0.0056953125,0.9413203125
verificacao_moderada,42,0.0045703125,0.9429296875
verificacao_moderada,43,0.0036562499999999998,0.94421875
verificacao_moderada,44,0.0029375,0.9453437499999999
verificacao_moderada,45,0.002171875,0.946375
verificacao_moderada,46,0.0018593750000000001,0.9469296875
verificacao_moderada,47,0.001484375,0.94746875
verificacao_moderada,48,0.0013515625000000001,0.947796875
verificacao_moderada,49,0.001140625,0.948125
verificacao_moderada,50,0.0010078125,0.9483828125
verificacao_moderada,51,0.000875,0.9486171875
verificacao_moderada,52,0.0007421875,0.9488828125
verificacao_moderada,53,0.0005625,0.949109375
verificacao_moderada,54,0.0005,0.9492421875
verificacao_moderada,55,0.00040625,0.9493828125
verificacao_moderada,56,0.0003828125,0.9494609375
verificacao_moderada,57,0.00028125000000000003,0.94959375
verificacao_moderada,58,0.0002421875,0.9496484375
verificacao_moderada,59,0.000265625,0.9496718749999999
verificacao_moderada,60,0.0002734375,0.9497265625
verificacao_moderada,61,0.0002890625,0.9497578125
verificacao_moderada,62,0.0002578125,0.9498203125
verificacao_moderada,63,0.00017968750000000002,0.94990625
verificacao_moderada,64,0.00017968750000000002,0.949953125
verificacao_moderada,65,0.0001796875,0.9499765625
verificacao_moderada,66,0.00016406249999999998,0.9499921875
verificacao_moderada,67,0.0001171875,0.950046875
verificacao_moderada,68,0.00010156250000000001,0.950078125
verificacao_moderada,69,7.03125e-05,0.950109375
verificacao_moderada,70,6.25e-05,0.950125
